date,daily_return
2025-01-01,0.0
2025-01-02,0.02500353889459504
2025-01-03,-0.0039667530137941975
2025-01-06,-0.01703179873571249
2025-01-07,0.004401680791945165
2025-01-08,-0.0005587874559440135
2025-01-09,-0.0027349461921846938
2025-01-10,-0.006560390750842045
2025-01-13,-0.01773160219227321
2025-01-14,0.004353399747707127
2025-01-15,0.0006131509349890461
2025-01-16,0.0032654277014649655
2025-01-17,0.0012250871201307416
2025-01-20,0.005924116303224003
2025-01-21,-0.011939616182412295
2025-01-22,0.006985979010049738
2025-01-23,0.009577566669742806
2025-01-24,-0.005417880401134909
2025-01-27,-0.01624399984946813
2025-01-28,-0.0001916929991023277
2025-01-29,0.011826439567555655
2025-01-30,0.004931378268531212
2025-01-31,0.01188949676773893
2025-02-01,0.0032683944523661684
2025-02-03,-0.0009845786750033497
2025-02-04,0.015772416742379565
2025-02-05,-0.006093526744566837
2025-02-06,-0.005446892960111878
2025-02-07,0.010553171535655844
2025-02-10,-0.00783812925493613
2025-02-11,-0.014248038567385464
2025-02-12,-0.00044552506392242
2025-02-13,0.003953298458554116
2025-02-14,-0.007993503184594575
2025-02-17,0.003707019739206572
2025-02-18,0.0014221261933776428
2025-02-19,-0.0028835236057760364
2025-02-20,0.00305365585362784
2025-02-21,-0.004618517138590566
2025-02-24,-0.01052712302283124
2025-02-25,0.0008134642851551336
2025-02-27,-0.00014342976900623747
2025-02-28,-0.02964525178938309
2025-03-03,0.0004608117806674289
2025-03-04,-0.007605366995454341
2025-03-05,0.016184461358682626
2025-03-06,0.01267268498803044
2025-03-07,-0.0016662315378546514
2025-03-10,-0.003217212627229829
2025-03-11,-0.015308069248722614
2025-03-12,-0.002866355503132804
2025-03-13,-0.003544525823448817
2025-03-17,0.005340688403952746
2025-03-18,0.0
2025-03-19,0.014782859268307828
2025-03-20,0.010267754448456467
2025-03-21,0.005863121758251406
2025-03-24,0.01056051011139736
2025-03-25,-0.0019422075646845127
2025-03-26,-0.006074598012492165
2025-03-27,0.005009690234235343
2025-03-28,-0.007989437421690894
2025-04-01,-0.011230208276541196
2025-04-02,0.006843780866633586
2025-04-03,0.0008395875451839925
2025-04-04,-0.015880467571954732
2025-04-07,-0.0271621619107205
2025-04-08,0.013932808091346505
2025-04-09,-0.004825505789631378
2025-04-11,0.017767773188924512
2025-04-15,0.019542510516698978
2025-04-16,0.007868042914222429
2025-04-17,0.015499562641888162
2025-04-21,0.011181524502210835
2025-04-22,-0.003385166457568091
2025-04-23,0.01973733887669016
2025-04-24,0.00029076926315991033
2025-04-25,-0.010640789814540441
